rsq,set_name,column,is_baseline,spearman_abs_rho,permutation_r2_drop,ablation_r2_drop,average_rank
RSQ3,nested_set5_all_ungated,dist_to_forest_perimeter,False,0.03958946054170261,0.0011135145773724098,-0.05745026427461153,26.333333333333332
RSQ3,nested_set5_all_ungated,dist_to_scpt_boundary,False,0.010070663987547716,0.004863199023039777,-0.07269931190076029,30.0
RSQ3,nested_set5_all_ungated,dist_to_block_boundary,False,0.0015419696118448233,0.0083325117986488,-0.025740852203403275,26.666666666666668
RSQ3,nested_set5_all_ungated,cpmt_compactness_ratio,False,0.054873164799713554,0.035489038954965135,0.0012240100943451404,11.0
RSQ3,nested_set5_all_ungated,dist_to_road,False,0.15573094351760117,0.016031466503290792,-0.023760334602415,12.666666666666666
RSQ3,nested_set5_all_ungated,ceh_pedotope=10.0,False,0.04281640967416197,-0.0012197949158778698,-0.014037989147510643,24.333333333333332
RSQ3,nested_set5_all_ungated,ceh_pedotope=11.0,False,0.004899231410815935,-0.0038830614084839343,0.007986151448711065,27.333333333333332
RSQ3,nested_set5_all_ungated,ceh_pedotope=2.0,False,0.02599911703518358,0.0,0.0,23.0
RSQ3,nested_set5_all_ungated,ceh_pedotope=5.0,False,0.006778473645975203,0.0,0.0,25.333333333333332
RSQ3,nested_set5_all_ungated,ceh_pedotope=8.0,False,0.03569208993867587,0.0,0.004819823791292865,18.5
RSQ3,nested_set5_all_ungated,ceh_pedotope=9.0,False,0.0071498005254883035,0.0,0.0,25.0
